id,provider,category,name,priceMonthly,singleLinePrice,realMonthlyCost,firstYearCost,effectiveMonthly,priceAfterPromo,promoMonths,dataGB,speed,infrastructure,requiresLines,monthlyExtras
pele-data100,פלאפון,cellular,Data SIM 100GB,39.9,39.9,39.9,478.8,39.9,,,100GB,,,,0
pele-data500,פלאפון,cellular,Data SIM 500GB,49.9,49.9,49.9,598.8,49.9,,,500GB,,,,0
cell-kosher,סלקום,cellular,חבילה כשרה,29,29,29,348,29,49,24,ללא גלישה,,,,0
cell-data200,סלקום,cellular,דאטה בלבד 200GB,29.9,29.9,29.9,358.8,29.9,,,200GB,,,,0
cell-fam400,סלקום,cellular,400GB משפחתי,34.9,39.9,39.9,478.8,39.9,69.9,12,400GB,,,3,0
cell-data400,סלקום,cellular,דאטה בלבד 400GB,34.9,34.9,34.9,418.8,34.9,,,400GB,,,,0
cell-basic500,סלקום,cellular,Basic 500GB,44.9,44.9,44.9,538.8,44.9,,,500GB,,,,0
cell-pro1000,סלקום,cellular,1000GB 5G Pro,54.9,59.9,59.9,718.8,59.9,,,1000GB,,,3,0
cell-800,סלקום,cellular,800GB 5G,59.9,59.9,59.9,718.8,59.9,,,800GB,,,,0
cell-procare1500,סלקום,cellular,1500GB 5G Pro Care,69.9,69.9,69.9,838.8,69.9,,,1500GB,,,,0
cell-profly1500,סלקום,cellular,1500GB 5G Pro Fly,119.9,119.9,119.9,1438.8,119.9,,,1500GB,,,,0
part-kosher,פרטנר,cellular,מסלול כשר,29.9,29.9,29.9,358.8,29.9,44.9,36,ללא גלישה,,,,0
part-prince400,פרטנר,cellular,Prince 400GB,39.9,39.9,39.9,478.8,39.9,59.9,12,400GB,,,2,0
part-golden500,פרטנר,cellular,Golden 5G 500GB,39.9,39.9,39.9,478.8,39.9,59.9,12,500GB,,,,0
part-queen500,פרטנר,cellular,Queen 5G 500GB,39.9,39.9,39.9,568.8,47.4,49.9,3,500GB,,,,0
part-royal800,פרטנר,cellular,Royal 5G 800GB,39.9,39.9,39.9,478.8,39.9,49.9,12,800GB,,,,0
part-king800,פרטנר,cellular,King 5G 800GB,59.9,59.9,59.9,718.8,59.9,,,800GB,,,,0
part-ace1000,פרטנר,cellular,Ace 5G 1000GB,69.9,69.9,69.9,838.8,69.9,,,1000GB,,,,0
part-boost1500,פרטנר,cellular,Boost 5G 1500GB,69.9,69.9,69.9,838.8,69.9,,,1500GB,,,,0
golan-350,גולן טלקום,cellular,350GB,29.9,29.9,29.9,358.8,29.9,,,350GB,,,,0
golan-fam500,גולן טלקום,cellular,משפחתי 500GB לקו,33,49,49,588,49,,,500GB,,,3,0
golan-300,גולן טלקום,cellular,300GB,34.9,34.9,34.9,418.8,34.9,,,300GB,,,,0
golan-400,גולן טלקום,cellular,400GB,39,39,39,468,39,,,400GB,,,,0
golan-750,גולן טלקום,cellular,750GB 5G,39,39,39,558,46.5,49,3,750GB,,,,0
golan-1500,גולן טלקום,cellular,1500GB 5G VIP,49,49,49,688,57.33,59,2,1500GB,,,,0
rl-300,רמי לוי,cellular,300GB אקסטרים,35,35,35,420,35,45,24,300GB,,,,0
rl-500g,רמי לוי,cellular,500GB Global 5G,50,50,50,600,50,,,500GB,,,,0
rl-1000,רמי לוי,cellular,1000GB אקסטרים,55,55,55,660,55,60,24,1000GB,,,,0
rl-250max,רמי לוי,cellular,250GB MAX,26.9,26.9,26.9,322.8,26.9,,,250GB,,,,0
rl-vip2,רמי לוי,cellular,VIP 2 קווים — 200GB לקו,20,26.9,26.9,322.8,26.9,,,200GB,,,2,0
rl-fam5,רמי לוי,cellular,משפחתי 5 קווים — 300GB לקו,19.8,26.9,26.9,322.8,26.9,,,300GB,,,5,0
rl-kosher10k,רמי לוי,cellular,"MAX כשר 10,000 דקות",16.9,16.9,16.9,202.8,16.9,20,24,ללא גלישה,,,,0
019-12,019 מובייל,cellular,לכל החיים 12GB,19.8,19.8,19.8,237.6,19.8,,,12GB,,,,0
019-30,019 מובייל,cellular,בול בפוני 30GB,21.9,21.9,21.9,262.8,21.9,,,30GB,,,,0
019-170,019 מובייל,cellular,הגזמנו 170GB 5G,25.9,25.9,25.9,310.8,25.9,,,170GB,,,,0
019-100,019 מובייל,cellular,WE LOVE IT 100GB,29.9,29.9,29.9,358.8,29.9,39.9,36,100GB,,,,0
019-bigtime200,019 מובייל,cellular,BIG TIME 200GB,31.8,31.8,31.8,381.6,31.8,41.8,36,200GB,,,,0
019-300,019 מובייל,cellular,BIG DATA 300GB,39.9,39.9,39.9,478.8,39.9,,,300GB,,,,0
we4g-data500,We4G,cellular,Data Only 500GB,19.9,19.9,19.9,238.8,19.9,,,500GB,,,,0
we4g-data500-5g,We4G,cellular,Data Only 500GB 5G,29.9,29.9,29.9,358.8,29.9,,,500GB,,,,0
we4g-fam500,We4G,cellular,משפחתי 500GB,29.9,34.9,34.9,418.8,34.9,,,500GB,,,2,0
we4g-basic150,We4G,cellular,wecom Basic 150GB,32.9,32.9,32.9,394.8,32.9,,,150GB,,,,0
we4g-free5g,We4G,cellular,Free 5G ללא הגבלה,35,35,35,420,35,,,ללא הגבלה,,,,0
we4g-global,We4G,cellular,wecom Global 5G,59.9,59.9,59.9,718.8,59.9,,,ללא הגבלה,,,,0
hot-fiber600,הוט,internet,Fiber AI 600,99,99,99,1188,99,,,,600/60 מגה,סיבים הוט,,0
hot-fiber1000,הוט,internet,Fiber AI 1000,54,54,54,1198,99.83,109,2,,1000/100 מגה,סיבים הוט,,0
hot-fiber1000up,הוט,internet,Fiber AI 1000 (העלאה 250),84,84,84,1558,129.83,139,2,,1000/250 מגה,סיבים הוט,,0
hot-fiber2000,הוט,internet,Fiber AI 2000,164,164,164,1968,164,,,,2000/250 מגה,סיבים הוט,,0
bez-300,בזק,internet,Bfiber 300,109,109,109,1308,109,140.1,12,,300/100 מגה,סיבים בזק,,0
bez-1000,בזק,internet,Bfiber 1000,99,99,99,1428,119,139,6,,1000/100 מגה,סיבים בזק,,0
bez-1000up,בזק,internet,Bfiber 1000 (העלאה 250),149,149,149,1788,149,170.4,12,,1000/250 מגה,סיבים בזק,,0
bez-2500,בזק,internet,Bfiber 2500,99,99,99,1434,119.5,140,6,,2500/250 מגה,סיבים בזק,,0
bez-5000,בזק,internet,Multi Fiber 5000,179,179,179,2148,179,200.5,12,,5000/500 מגה,סיבים בזק,,0
part-fiber300,פרטנר,internet,סיבים 300,90,90,90,1080,90,,,,300/30 מגה,סיבים פרטנר,,0
part-fiber600,פרטנר,internet,סיבים 600,69,69,94,1438,119.83,100,2,,600/100 מגה,סיבים פרטנר,,25
part-fiber1000,פרטנר,internet,סיבים 1000,39,39,39,1468,122.33,139,2,,1000/100 מגה,סיבים פרטנר,,0
part-fiber2500,פרטנר,internet,סיבים 2500,149,149,149,1788,149,169,18,,2500/250 מגה,סיבים פרטנר,,0
part-fiber5000,פרטנר,internet,סיבים 5000,209,209,209,2508,209,,,,5000/500 מגה,סיבים פרטנר,,0
cell-fiber1000,סלקום,internet,סיבים 1000,119,119,119,1428,119,,,,1000/100 מגה,סיבים סלקום,,0
cell-fiber2500,סלקום,internet,סיבים 2500,99,99,128.9,1756.8,146.4,129,5,,2500/250 מגה,סיבים סלקום,,29.9
cell-superup1000,סלקום,internet,Super Upload 1Gb,129,129,129,1548,129,,,,1000/250 מגה,סיבים סלקום,,0
